,group,variable,month,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,9,9
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,34,34
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,12,12
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,24,24
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,24,24
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,15,15
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,14,14
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,27,27
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,20,20
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,1,1
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,32,32
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,6,6
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,28,28
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,24,24
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,3,3
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,69,69
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,5,5
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,7,7
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,2,2
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-01-01,0,12,12
