,group,variable,month,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,1,1
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,17,17
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,5,5
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,31,31
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,12,12
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,2,2
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,4,4
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,48,48
SAN BORJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-01-01,0,9,9
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,2,2
BETANZOS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,2,2
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,4,4
CHOQUE COTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,2,2
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,9,9
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,3,3
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,1,1
EL TORNO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,154,154
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,11,11
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,1,1
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,3,3
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,16,16
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,4,4
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,50,50
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-02-01,0,2,2
