,group,variable,month,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,45,45
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,37,37
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
ALTO BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,8,8
ANCORAIMES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
ANZALDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,11,11
ARBIETO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,39,39
ARQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
ASCENCION DE GUARAYOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,133,133
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,14,14
AUCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
AYATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,19,19
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,9,9
BATALLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
BELLA FLOR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,96,96
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,34,34
BOLIVAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,5,5
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,6,6
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,10,10
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,19,19
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,12,12
CAJUATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
CALACOTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,1,1
CALAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,17,17
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,4,4
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,24,24
CARANAVI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,131,131
CARAPARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-01-01,0,29,29
