,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,28,34,62
ALALAY,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,1,4
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,0,2
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,9,13
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,12,18,30
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,10,11
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,9,9
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,50,98,148
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,5,7
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,27,32
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,26,47,73
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,4,3,7
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
BOYUIBE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,1,2
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,11,14,25
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,6,8
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,20,52,72
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,2,2
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,11,13
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,84,45,129
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,1,2
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,34,56,90
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,7,21,28
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,16,12,28
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,4,5
CKOCHAS,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,0,1,1
CLIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,16,10,26
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,146,26,172
COCAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,0,1
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1815,2980,4795
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,68,119,187
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,3,3,6
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,16,18
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,6,7,13
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,5,12,17
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,24,12,36
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,1,2,3
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,12,18,30
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,10,6,16
COPACABANA,vih - sifilis,no de personas con prueba rapida de vih,2024-01-01,2,4,6
