,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,14,14
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,2,2
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,12,12
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,2,2
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,10,10
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,2,2
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,49,49
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,9,9
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,5,5
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,23,23
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,5,5
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,21,21
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,10,10
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,12,12
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,3,3
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,8,8
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,8,8
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,7,7
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,55,55
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,18,18
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,8,8
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,18,18
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,23,23
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,49,49
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-01-01,0,3,3
