,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,14,14
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,12,12
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,10,10
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,13,13
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,5,5
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,23,23
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,5,5
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,8,8
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,2,2
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,2,2
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,7,7
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,47,47
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,4,4
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,8,8
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,10,10
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,25,25
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,17,17
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,80,80
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,7,7
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,7,7
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,21,21
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,11,11
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,17,17
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,3,3
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-01-01,0,13,13
