,group,variable,month,3. Nº DE MUJERES CON PRUEBA RAPIDA VIH EN EL PARTO O PUERTPERIO CANTIDAD,3. Nº DE MUJERES CON PRUEBA RAPIDA VIH EN EL PARTO O PUERTPERIO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
COCHABAMBA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,45,45
COLOMI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,4,4
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,8,8
EL ALTO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,271,271
EL TORNO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,165,165
HUANUNI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,12,12
LA PAZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,19,19
MAIRANA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
OCURI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,2,2
ORURO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,2,2
POCOATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,4,4
PORVENIR,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
POTOSI,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,58,58
SAN IGNACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,7,7
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,99,99
SENA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,9,9
SUCRE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
TARIJA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,43,43
UNCIA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,1,1
VILLA MONTES,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-01-01,0,65,65
ACACIO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,3,3
AIQUILE,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,8,8
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,3,3
BERMEJO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
BETANZOS,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
CARIPUYO,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,4,4
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,5,5
CHALLAPATA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,26,26
CHAYANTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,1,1
CHOQUE COTA,vih - sifilis,no de mujeres con prueba rapida vih en el parto o puertperio,2024-02-01,0,2,2
