,group,variable,month,L 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS,L 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,4,0,4,0,4
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,9,3,9,3,12
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,5,1,5,1,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,10,0,10,0,10
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,5,0,5,5
APOLO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,3,0,3,3
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,53,7,53,7,60
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,7,0,7,0,7
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,16,0,16,0,16
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,13,0,13,0,13
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,2,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,1,2,1,3
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,3,1,3,1,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,13,1,13,1,14
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,8,1,8,1,9
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,3,0,3,0,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,18,0,18,18
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,24,0,24,0,24
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,17,1,17,1,18
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,4,4,4,4,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,204,0,204,0,204
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,5,5,5,5,10
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,9,3,9,3,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,4,5,4,5,9
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,6,0,6,6
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,2,1,2,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,6,0,6,0,6
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,6,5,6,5,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,4,1,4,1,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,3,1,3,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,389,45,389,45,434
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,63,0,63,0,63
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,12,0,12,0,12
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,7,0,7,0,7
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,3,0,3,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,6,7,6,7,13
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,135,2,135,2,137
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,10,2,10,12
LAJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,13,0,13,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,3,0,3,0,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,4,1,4,1,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,6,0,6,0,6
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,41,0,41,0,41
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,51,0,51,0,51
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,9,1,9,1,10
ORURO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,184,0,184,0,184
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,7,0,7,0,7
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,12,6,12,6,18
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,4,2,4,6
POCONA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,3,4,3,4,7
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,2,0,2,0,2
POROMA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-01-01,9,1,9,1,10
