,group,variable,month,L 18.4 DPT 2DA DOSIS,L 18.4 DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,24,0,24,24
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,5,1,5,1,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,7,1,7,1,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,24,0,24,0,24
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,3,0,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,52,3,52,3,55
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,5,0,5,0,5
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,33,1,33,1,34
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,9,0,9,0,9
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,3,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,3,9,3,9,12
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,16,0,16,0,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,11,1,11,1,12
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,21,2,21,2,23
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,4,0,4,0,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,3,2,3,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,78,0,78,0,78
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,2,2,2,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,0,2,0,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,31,0,31,0,31
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,0,7,0,7,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,6,0,6,0,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-01-01,4,0,4,0,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,7,0,7,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,1,0,1,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,5,0,5,0,5
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,1,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,9,0,9,9
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,16,1,16,1,17
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,31,7,31,7,38
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,4,1,4,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,8,1,8,1,9
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,32,0,32,0,32
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,2,2,2,2,4
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-02-01,3,0,3,0,3
