,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,3,0,3,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,37,7,37,7,44
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,1,9,1,10
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,25,5,25,5,30
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,5,0,5,5
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,0,3,0,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,21,0,21,0,21
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,0,11,0,11
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,3,0,3,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,0,3,0,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,3,1,3,4
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,15,22,15,37
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,19,2,19,2,21
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,13,2,13,15
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,12,15,12,27
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,90,14,90,14,104
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,6,24,6,24,30
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,3,2,3,5
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,3,7,3,10
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,5,22,5,27
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,18,4,18,4,22
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,10,14,10,24
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,0,11,0,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,40,28,40,28,68
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,18,6,18,6,24
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,7,0,7,7
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,3,2,3,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,6,0,6,6
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,16,21,16,21,37
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,38,13,38,13,51
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,3,14,3,17
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,9,6,9,6,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,6,2,6,8
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,16,4,16,4,20
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,17,14,17,14,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,5,0,5,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,57,7,57,7,64
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,49,5,49,5,54
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,7,4,7,11
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,34,5,34,5,39
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,65,8,65,8,73
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,19,4,19,23
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,12,0,12,12
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,23,49,23,49,72
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,3,4,3,7
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,24,86,24,86,110
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,1,3,1,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,29,6,29,6,35
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,28,12,28,12,40
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,0,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,14,1,14,1,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,36,13,36,13,49
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,80,31,80,31,111
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,6,0,6,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1110,5,1110,5,1115
COIPASA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,104,22,104,22,126
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,0,13,0,13
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,28,11,28,11,39
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,3,6,3,6,9
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,8,15,8,15,23
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,1,7,1,7,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,25,0,25,25
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,16,15,16,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,7,0,7,7
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,29,0,29,0,29
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,11,46,11,46,57
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,13,21,13,21,34
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,4,8,4,8,12
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,12,6,12,6,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,7,3,7,3,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,17,17,17,17,34
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,89,17,89,17,106
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,22,13,22,13,35
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,2,5,2,5,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,11,15,11,26
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,15,1,15,1,16
CURVA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-01-01,0,2,0,2,2
