,group,variable,month,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,24,0,24,24
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,1,2,1,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,16,0,16,0,16
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,41,3,41,3,44
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,3,0,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,40,3,40,3,43
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,5,0,5,0,5
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,43,1,43,1,44
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,9,0,9,0,9
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,3,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,3,9,3,9,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,16,0,16,0,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,21,2,21,2,23
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,4,0,4,0,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,3,2,3,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,65,0,65,0,65
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,2,2,2,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,30,0,30,0,30
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,0,4,0,4,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,6,0,6,0,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-01-01,4,0,4,0,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,7,1,7,1,8
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,0,7,0,7,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,0,1,0,1,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,5,0,5,0,5
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,1,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,16,1,16,1,17
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,4,1,4,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,8,1,8,1,9
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,34,0,34,0,34
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,2,2,2,2,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-02-01,3,0,3,0,3
