,group,variable,month,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,34,0,34,0,34
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,12,0,12,12
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,10,1,10,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,6,0,6,0,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,22,0,22,0,22
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,9,4,9,4,13
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,3,4,3,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,12,0,12,0,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,87,0,87,0,87
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,3,1,3,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,10,0,10,0,10
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,3,2,3,5
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,1,4,1,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,50,1,50,1,51
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,8,1,8,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,6,0,6,0,6
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,43,0,43,0,43
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,87,0,87,0,87
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,5,0,5,0,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,25,0,25,0,25
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,9,0,9,0,9
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,10,0,10,0,10
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,8,0,8,0,8
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,9,0,9,0,9
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,3,1,3,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,7,0,7,0,7
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,8,9,8,9,17
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,6,0,6,0,6
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,12,0,12,0,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,3,0,3,3
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,7,2,7,2,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,9,0,9,0,9
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,19,10,19,10,29
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,4,0,4,0,4
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,2,5,2,5,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-01-01,0,2,0,2,2
