,group,variable,month,L 18.6 DPT 4TA DOSIS,L 18.6 DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,3,9,3,12
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,5,1,5,1,6
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,53,7,53,7,60
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,2,2,2,4
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,0,4,0,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,16,0,16,0,16
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,0,9,0,9
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,2,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,1,2,1,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,13,1,13,1,14
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,8,1,8,1,9
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,3,0,3,0,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,18,0,18,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,13,5,13,5,18
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,17,1,17,1,18
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,4,4,4,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,164,0,164,0,164
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,5,5,5,5,10
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,3,9,3,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,2,1,2,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,0,6,0,6
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,5,6,5,11
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,1,4,1,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,380,29,380,29,409
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,63,0,63,0,63
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,12,0,12,0,12
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,7,0,7,0,7
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,3,0,3,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,9,6,9,15
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,125,3,125,3,128
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,10,2,10,12
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,3,0,3,0,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,1,4,1,5
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,0,6,0,6
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,32,0,32,0,32
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,51,0,51,0,51
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,1,9,1,10
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,183,0,183,0,183
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,7,0,7,0,7
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,12,6,12,6,18
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,4,2,4,6
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,3,4,3,4,7
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,0,2,0,2
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,1,9,1,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,7,2,7,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,112,0,112,0,112
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,0,3,0,3,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,8,1,8,1,9
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,6,0,6,0,6
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,9,11,9,11,20
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,15,1,15,1,16
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,11,2,11,2,13
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,1,11,1,11,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,22,2,22,2,24
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,2,2,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,38,0,38,0,38
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,3,13,3,13,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,5,2,5,2,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,8,0,8,0,8
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-01-01,50,3,50,3,53
