,group,variable,month,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,6,5,6,5,11
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,8,1,8,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,15,0,15,15
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,14,0,14,0,14
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,33,2,33,2,35
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,2,0,2,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,52,1,52,1,53
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,1,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,7,2,7,2,9
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,9,0,9,0,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,5,0,5,0,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,4,0,4,0,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,2,1,2,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,2,3,2,3,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,21,0,21,0,21
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,5,1,5,1,6
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,6,0,6,0,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,0,3,0,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,3,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-01-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,2,0,2,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,39,0,39,39
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,3,0,3,0,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,1,0,1,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,18,1,18,1,19
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,1,1,1,1,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,9,0,9,0,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,5,0,5,0,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,34,3,34,3,37
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-02-01,0,3,0,3,3
