,group,variable,month,L 18.3 DPT 1RA DOSIS,L 18.3 DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,12,0,12,12
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,10,1,10,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,7,0,7,0,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,3,6,3,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,4,1,4,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,9,4,9,4,13
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,12,0,12,0,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,104,0,104,0,104
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,87,3,87,3,90
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,3,1,3,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,10,0,10,0,10
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,1,4,1,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,47,1,47,1,48
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,0,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,0,6,0,6
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,0,6,0,6
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,107,4,107,4,111
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,25,0,25,0,25
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,10,0,10,0,10
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,1,2,1,3
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,0,6,0,6
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,3,1,3,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,8,0,8,0,8
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,0,6,0,6
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,12,0,12,0,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,4,1,4,5
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,68,2,68,2,70
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,15,16,15,16,31
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,7,2,7,2,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,27,0,27,0,27
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,6,10,6,10,16
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,1,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,5,2,5,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,315,6,315,6,321
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,2,0,2,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,51,2,51,2,53
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,6,1,6,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,7,1,7,1,8
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,8,10,8,10,18
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.3       dpt 1ra dosis,2012-01-01,2,2,2,2,4
