,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE E. 50 Y MAS,TOTALES
,,,,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre1,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre2,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre3,Interrupciones Legales del Embarazo por Riesgo de Salud de la Madre4,TOTAL
municipality,,,,,,,,,
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-01-01,0,0,11,0,0,11
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-01-01,0,0,6,0,0,6
RIBERALTA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-01-01,1,0,0,0,0,1
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-01-01,0,3,14,2,0,19
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-02-01,0,0,4,1,0,5
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-02-01,0,3,3,0,0,6
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-02-01,0,3,14,0,0,17
TRINIDAD,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-02-01,0,0,2,2,0,4
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-03-01,0,1,4,0,0,5
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-03-01,0,0,1,3,0,4
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-03-01,0,0,10,4,0,14
COBIJA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-04-01,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-04-01,0,1,4,2,0,7
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-04-01,0,0,4,5,0,9
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-04-01,0,0,2,0,0,2
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-05-01,0,0,3,1,0,4
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-05-01,0,0,2,2,0,4
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-05-01,0,9,9,0,0,18
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-05-01,1,3,13,1,0,18
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-06-01,0,0,3,0,0,3
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-06-01,4,14,2,0,0,20
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-06-01,1,0,9,0,0,10
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-06-01,0,4,23,2,0,29
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-07-01,0,0,4,3,0,7
LA PAZ,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-07-01,0,0,15,1,0,16
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-07-01,0,1,16,3,0,20
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-07-01,0,0,1,4,0,5
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-07-01,0,7,11,3,0,21
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-08-01,1,0,5,2,0,8
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-08-01,0,3,7,0,0,10
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2022-08-01,0,1,28,1,0,30
