,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,1,0,1,0,0,0,2
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,9,0,19,1,2,0,0,0,31
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,18,0,2,0,0,0,22
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,4,0,13,0,3,0,0,0,20
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,2,0,0,0,0,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,4,0,12,0,1,0,0,0,17
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,1,0,4,0,1,1,0,0,7
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,1,0,0,0,0,0,0,0,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,4,0,2,0,0,0,6
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,2,0,0,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,1,3,1,0,0,0,0,7
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,1,0,0,0,0,0,0,1
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,1,0,1,0,0,0,0,0,2
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,3,0,13,0,4,0,0,0,20
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,1,0,8,0,2,0,0,0,11
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,2,0,17,0,34,0,3,0,0,0,56
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,9,0,1,0,0,0,10
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,2,0,0,0,0,0,2
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,2,0,2,0,0,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,4,0,1,0,0,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,13,0,1,0,0,0,16
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,1,1,4,2,3,0,0,0,11
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,10,0,0,0,0,0,12
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,2,0,9,0,0,0,0,0,11
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,0,1,0,0,0,0,1
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,0,0,1,1,0,0,0,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2018-01-01,0,0,12,0,26,1,4,0,0,0,43
