,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,0,0,1,0,0,0,1
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,4,0,5,1,6,0,0,0,16
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,2,0,5,0,1,0,0,0,8
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,6,0,11,0,4,0,0,0,21
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,1,0,1,0,0,2,0,0,0,4
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,4,0,2,1,2,1,0,0,10
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,1,0,0,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,2,0,1,0,0,0,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,1,0,3,1,4,0,0,0,9
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,3,0,0,0,0,0,3
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,3,0,5,0,2,0,0,0,10
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,1,1,1,1,0,0,0,0,4
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,5,1,21,0,1,0,0,0,28
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,2,0,19,0,3,0,0,0,24
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,0,0,1,0,0,0,1
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,2,0,3,2,0,1,0,0,8
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,0,1,0,1,0,0,2
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,2,0,2,0,0,0,0,0,4
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,8,1,11,0,3,0,0,0,23
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,1,0,1,1,5,0,0,0,8
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,0,1,0,0,0,0,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,1,0,0,0,2
