,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,1,0,0,0,2
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,1,0,6,0,27,4,4,0,0,0,42
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,3,0,17,0,3,0,0,0,23
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,1,0,5,0,10,3,5,1,0,0,25
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,0,0,1,0,0,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,1,0,1,0,0,0,0,0,2
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,3,0,7,0,1,0,0,0,11
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,2,0,2,1,4,0,2,1,0,0,12
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,2,2,1,0,0,0,0,5
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,3,0,0,0,0,0,3
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,3,0,20,0,7,0,0,0,30
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,1,2,0,0,0,0,3
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,3,0,6,0,0,0,0,0,9
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,9,0,15,0,1,0,0,0,25
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,3,0,9,0,6,0,0,0,18
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,3,0,16,0,32,0,3,0,0,0,54
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,2,0,13,0,3,0,0,0,18
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,1,0,2,0,0,0,0,0,3
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,3,0,0,0,0,0,3
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,1,0,7,1,3,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,13,0,9,1,3,1,0,0,27
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,1,0,0,1,6,1,4,2,0,0,15
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,6,0,13,0,1,0,0,0,20
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,4,0,8,0,1,0,0,0,13
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,0,0,0,0,2,0,0,0,0,0,2
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2018-01-01,1,0,5,0,5,0,2,0,0,0,13
