,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2018-01-01,0,0,2,0,7,1,3,0,0,0,13
ACHACACHI,consultas prenatales,repetidas,2018-01-01,1,0,35,0,121,3,16,1,0,0,177
ACHOCALLA,consultas prenatales,repetidas,2018-01-01,0,0,16,0,98,1,14,0,0,0,129
AIQUILE,consultas prenatales,repetidas,2018-01-01,2,0,42,1,84,3,28,1,0,0,161
ALALAY,consultas prenatales,repetidas,2018-01-01,0,0,4,0,1,0,1,0,0,0,6
ALCALA,consultas prenatales,repetidas,2018-01-01,0,0,2,0,8,0,3,0,0,0,13
ALTO BENI,consultas prenatales,repetidas,2018-01-01,0,0,13,0,41,1,9,0,0,0,64
ANCORAIMES,consultas prenatales,repetidas,2018-01-01,0,1,7,0,20,1,5,2,0,0,36
ANDAMARCA,consultas prenatales,repetidas,2018-01-01,0,0,8,0,7,1,2,0,0,0,18
ANTEQUERA,consultas prenatales,repetidas,2018-01-01,0,0,4,0,15,0,4,0,0,0,23
ANZALDO,consultas prenatales,repetidas,2018-01-01,0,0,2,0,9,1,1,1,0,0,14
APOLO,consultas prenatales,repetidas,2018-01-01,0,1,22,1,37,3,11,1,0,0,76
ARAMPAMPA,consultas prenatales,repetidas,2018-01-01,0,0,2,2,4,2,2,2,0,0,14
ARANI,consultas prenatales,repetidas,2018-01-01,0,0,9,0,33,2,6,0,0,0,50
ARBIETO,consultas prenatales,repetidas,2018-01-01,0,0,27,0,80,0,17,0,0,0,124
ARQUE,consultas prenatales,repetidas,2018-01-01,1,0,8,0,28,1,16,0,0,0,54
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2018-01-01,4,0,61,0,180,0,20,0,0,0,265
ATOCHA,consultas prenatales,repetidas,2018-01-01,0,0,12,2,37,3,6,0,0,0,60
AUCAPATA,consultas prenatales,repetidas,2018-01-01,0,0,3,0,12,1,2,0,0,0,18
AYATA,consultas prenatales,repetidas,2018-01-01,1,0,6,0,10,0,5,0,0,0,22
AYO AYO,consultas prenatales,repetidas,2018-01-01,0,0,11,0,20,1,3,0,0,0,35
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2018-01-01,1,0,26,0,79,1,19,1,0,0,127
AZURDUY,consultas prenatales,repetidas,2018-01-01,1,0,7,5,15,8,8,1,0,0,45
BATALLAS,consultas prenatales,repetidas,2018-01-01,0,1,9,0,53,4,9,0,0,0,76
BAURES,consultas prenatales,repetidas,2018-01-01,0,0,8,1,25,0,1,0,0,0,35
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2018-01-01,0,0,1,0,3,3,0,1,0,0,8
BELEN DE URMIRI,consultas prenatales,repetidas,2018-01-01,0,0,0,0,1,6,1,0,0,0,8
BELLA FLOR,consultas prenatales,repetidas,2018-01-01,1,0,6,0,9,1,0,0,0,0,17
BERMEJO,consultas prenatales,repetidas,2018-01-01,0,0,40,0,180,3,26,2,0,0,251
BETANZOS,consultas prenatales,repetidas,2018-01-01,0,1,24,5,59,12,24,11,0,0,136
BOLIVAR,consultas prenatales,repetidas,2018-01-01,0,0,6,1,14,0,2,1,0,0,24
BOLPEBRA,consultas prenatales,repetidas,2018-01-01,0,0,2,0,1,1,0,0,0,0,4
BOYUIBE,consultas prenatales,repetidas,2018-01-01,0,0,2,1,18,2,3,0,0,0,26
BUENA VISTA,consultas prenatales,repetidas,2018-01-01,2,0,23,0,43,1,12,0,0,0,81
CABEZAS,consultas prenatales,repetidas,2018-01-01,1,0,33,0,102,1,10,0,0,0,147
CAIROMA,consultas prenatales,repetidas,2018-01-01,0,0,8,0,43,1,4,0,0,0,56
"CAIZA ""D""",consultas prenatales,repetidas,2018-01-01,0,0,9,0,20,1,7,0,0,0,37
CAJUATA,consultas prenatales,repetidas,2018-01-01,1,0,19,0,42,0,15,0,0,0,77
CALACOTO,consultas prenatales,repetidas,2018-01-01,0,0,1,1,4,4,1,1,0,0,12
