municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,8,8
CARMEN RIVERO TORREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,17,17
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,9,9
HUACARETA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,2,2
ICHOCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,10,10
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,7,7
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,2,2
MAGDALENA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,2,2
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,3,3
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,3,3
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,3,3
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,5,5
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,12,12
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,291,291
TOMINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,6,6
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-01-01,16,16
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,17,17
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,10,10
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,30,30
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,5,5
MAGDALENA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,3,3
MINEROS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,2,2
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,6,6
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,1,1
PORTACHUELO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,1,1
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,4,4
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,12,12
SORACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,189,189
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,4,4
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-02-01,9,9
ARAMPAMPA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,5,5
CARAPARI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,1,1
CHIMORE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,15,15
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,11,11
IXIAMAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,8,8
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,4,4
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,3,3
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,10,10
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,18,18
SIPE SIPE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,374,374
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,4,4
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,8,8
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,25,25
VALLEGRANDE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,2,2
YANACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-03-01,2,2
APOLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,1,1
"CAIZA ""D""",refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,2,2
CARAPARI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,13,13
CORO CORO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,4,4
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,3,3
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,117,117
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,2,2
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,6,6
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,15,15
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,306,306
TIRAQUE (CBBA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2017-04-01,2,2
