municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,18,18
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,3,3
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,29,29
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,20,20
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,29,29
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,10,10
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,5,5
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,23,23
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,3,3
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,5,5
IXIAMAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,186,186
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,6,6
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,8,8
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,50,50
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,42,42
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
PALCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,5,5
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,5,5
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,4,4
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
SAN RAMON SCZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,282,282
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,2,2
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,99,99
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,17,17
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,4,4
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,13,13
UNCIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2017-01-01,13,13
