municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,10,10
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,11,11
ALTO BENI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
ANCORAIMES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,4,4
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,9,9
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,22,22
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,52,52
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,5,5
BAURES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
BELEN DE ANDAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
BELLA FLOR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,11,11
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CAIROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CALACOTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,49,49
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,68,68
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CARACOLLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,41,41
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,8,8
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,12,12
CHUA COCANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,30,30
CKOCHAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,27,27
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,219,219
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,622,622
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,11,11
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
COLQUENCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
COLQUIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,43,43
CORQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,7,7
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,39,39
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,8,8
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1620,1620
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,21,21
EL VILLAR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,4,4
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,23,23
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,9,9
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,4,4
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,4,4
GUAQUI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,41,41
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,68,68
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,6,6
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,19,19
LA PAZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2668,2668
LAJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
LLALLAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,35,35
MACHACAMARCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
MACHARETI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
MAGDALENA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,7,7
MAIRANA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,9,9
MINEROS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
MIZQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,3,3
MONTERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1113,1113
OCURI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,2,2
OKINAWA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,7,7
OMEREQUE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2017-01-01,1,1
