municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,1,1
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,4,4
COTOCA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,3,3
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,4,4
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,10,10
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,3,3
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,10,10
LA PAZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,3,3
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,9,9
ORURO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,11,11
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,43,43
QUILLACOLLO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2017-01-01,14,14
