municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,4,4
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,2,2
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
PAMPA GRANDE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,6,6
PRESTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,55,55
SAN LUCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,3,3
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,15,15
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,12,12
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,8,8
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,69,69
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,2,2
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,16,16
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,5,5
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-02-01,4,4
ACHACACHI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,1,1
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,5,5
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,4,4
EL VILLAR,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,45,45
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,6,6
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2017-03-01,2,2
