municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,52,52
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,22,22
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,17,17
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,8,8
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,5,5
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,8,8
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,26,26
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,26,26
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,121,121
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,6,6
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,5,5
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,23,23
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,38,38
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
BELEN DE ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,4,4
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,5,5
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,49,49
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,32,32
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,10,10
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,46,46
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,31,31
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,13,13
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,9,9
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,17,17
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,46,46
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
CAMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,164,164
CAPINOTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,35,35
CARACOLLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,21,21
CARANAVI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,99,99
CARAPARI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,40,40
CARIPUYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,3,3
CHACARILLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,58,58
CHAQUI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
CHARAGUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,24,24
CHAYANTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,9,9
CHIMORE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,39,39
CHOQUE COTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
CHUA COCANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,20,20
CHUMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,6,6
CKOCHAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,23,23
CLIZA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,46,46
COBIJA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,250,250
COCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
COCHABAMBA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,692,692
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,55,55
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,38,38
COLOMI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,39,39
COLPA BELGICA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,20,20
COLQUECHACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,13,13
COLQUENCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,10,10
COLQUIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,11,11
COMARAPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,17,17
CONCEPCION,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,11,11
COPACABANA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,11,11
CORIPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,49,49
CORO CORO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,17,17
COROICO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,55,55
CORQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,12,12
COTAGAITA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,61,61
COTOCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,147,147
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,21,21
CUEVO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,9,9
CULPINA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,35,35
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,7,7
CURVA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
DESAGUADERO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2017-01-01,1,1
