,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,11,15,3,3,14,18,32
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,6,1,5,5,11,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,1,1,1,2,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,1,0,0,1,1,2
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,2,0,2,1,3
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,0,5,10,5,10,15
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,3,6,2,4,5,10,15
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,1,0,1,1,2,1,3
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,20,19,0,0,20,19,39
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,4,2,2,0,6,2,8
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,6,6,0,0,6,6,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,6,3,2,0,8,3,11
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2019-01-01,0,1,0,0,0,1,1
