,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,1,2,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,6,10,1,0,7,10,17
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,4,1,0,4,4,8
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,5,5,6,7,11,18
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,1,1,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,3,0,1,5,4,9
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,4,5,2,1,6,6,12
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,0,0,1,2,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,0,0,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,2,0,0,1,2,3
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,0,0,2,2,2,2,4
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,3,5,1,0,4,5,9
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,5,2,0,3,5,8
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,27,24,0,0,27,24,51
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,5,8,2,2,7,10,17
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2019-01-01,2,2,0,0,2,2,4
