,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,2,2,3,6,5,11
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,11,2,3,11,14,25
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,7,8,0,1,7,9,16
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,12,7,10,14,22,21,43
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,1,2,1,3,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,1,1,1,1,2,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,8,4,0,1,8,5,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,6,7,2,3,8,10,18
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,2,1,0,1,2,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,3,0,0,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,4,1,0,5,4,9
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,9,5,3,2,12,7,19
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,0,0,2,1,2,1,3
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,10,2,0,0,10,2,12
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,4,11,3,3,7,14,21
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2019-01-01,2,4,1,2,3,6,9
