,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,1,1,1,2,2,4
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,1,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,2,1,2,0,4,1,5
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,1,0,2,0,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,0,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,0,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,0,1,0,1,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2019-01-01,1,2,0,0,1,2,3
