,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,0,4,2,5,2,7
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,19,13,2,2,21,15,36
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,9,12,2,0,11,12,23
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,12,11,3,3,15,14,29
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,3,1,3,1,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,2,0,0,1,2,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,5,6,2,0,7,6,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,4,8,4,0,8,8,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,1,1,3,2,4,3,7
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,3,3,0,0,3,3,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,4,4,3,4,7,11
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,9,6,4,3,13,9,22
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,0,0,3,7,3,7,10
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,7,8,2,0,9,8,17
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,17,5,7,4,24,9,33
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,6,4,3,4,9,8,17
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2019-01-01,41,28,1,2,42,30,72
