municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,186,186
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,61,61
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,527,527
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,93,93
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,124,124
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,32,32
APOLO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,155,155
ARANI,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,152,152
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,372,372
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,370,370
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,62,62
AYATA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,62,62
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2021-01-01,852,852
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,341,341
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,459,459
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2021-01-01,186,186
