municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,3,3
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,144,144
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,5,5
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,64,64
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,7,7
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,12,12
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,4,4
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,9,9
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,125,125
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,38,38
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,4,4
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,2,2
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,46,46
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,32,32
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,9,9
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,2,2
BELEN DE URMIRI,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,3,3
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,93,93
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,27,27
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2021-01-01,4,4
