municipality,group,variable,month,Número de Muestras hemáticas tomadas,TOTAL
AIQUILE,malaria,numero de muestras hematicas tomadas,2008-01-01,16,16
ALCALA,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
AYATA,malaria,numero de muestras hematicas tomadas,2008-01-01,5,5
AZURDUY,malaria,numero de muestras hematicas tomadas,2008-01-01,13,13
BAURES,malaria,numero de muestras hematicas tomadas,2008-01-01,99,99
BERMEJO,malaria,numero de muestras hematicas tomadas,2008-01-01,1956,1956
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2008-01-01,23,23
CABEZAS,malaria,numero de muestras hematicas tomadas,2008-01-01,7,7
CARANAVI,malaria,numero de muestras hematicas tomadas,2008-01-01,23,23
CARAPARI,malaria,numero de muestras hematicas tomadas,2008-01-01,484,484
COBIJA,malaria,numero de muestras hematicas tomadas,2008-01-01,309,309
COTOCA,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
CUEVO,malaria,numero de muestras hematicas tomadas,2008-01-01,93,93
CULPINA,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
EL TORNO,malaria,numero de muestras hematicas tomadas,2008-01-01,420,420
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2008-01-01,146,146
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2008-01-01,44,44
FILADELFIA,malaria,numero de muestras hematicas tomadas,2008-01-01,22,22
GUANAY,malaria,numero de muestras hematicas tomadas,2008-01-01,43,43
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2008-01-01,1011,1011
HUACARETA,malaria,numero de muestras hematicas tomadas,2008-01-01,16,16
INCAHUASI,malaria,numero de muestras hematicas tomadas,2008-01-01,2,2
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2008-01-01,25,25
IXIAMAS,malaria,numero de muestras hematicas tomadas,2008-01-01,33,33
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2008-01-01,36,36
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2008-01-01,10,10
LA PAZ,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
MAGDALENA,malaria,numero de muestras hematicas tomadas,2008-01-01,94,94
MAPIRI,malaria,numero de muestras hematicas tomadas,2008-01-01,102,102
MIZQUE,malaria,numero de muestras hematicas tomadas,2008-01-01,4,4
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2008-01-01,84,84
NACEBE (SANTA ROSA DEL ABUNA),malaria,numero de muestras hematicas tomadas,2008-01-01,68,68
NUEVO MANOA (NUEVA ESPERANZA),malaria,numero de muestras hematicas tomadas,2008-01-01,255,255
PADCAYA,malaria,numero de muestras hematicas tomadas,2008-01-01,9,9
PADILLA,malaria,numero de muestras hematicas tomadas,2008-01-01,20,20
PALOS BLANCOS,malaria,numero de muestras hematicas tomadas,2008-01-01,42,42
PASORAPA,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
POJO (CBBA),malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
POROMA,malaria,numero de muestras hematicas tomadas,2008-01-01,4,4
PORONGO,malaria,numero de muestras hematicas tomadas,2008-01-01,32,32
PORVENIR,malaria,numero de muestras hematicas tomadas,2008-01-01,92,92
PRESTO,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
PUERTO GONZALO MORENO,malaria,numero de muestras hematicas tomadas,2008-01-01,108,108
PUERTO RICO,malaria,numero de muestras hematicas tomadas,2008-01-01,256,256
REYES,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
RIBERALTA,malaria,numero de muestras hematicas tomadas,2008-01-01,4970,4970
RURRENABAQUE,malaria,numero de muestras hematicas tomadas,2008-01-01,7,7
SAIPINA,malaria,numero de muestras hematicas tomadas,2008-01-01,90,90
SAMAIPATA,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
SAN BORJA,malaria,numero de muestras hematicas tomadas,2008-01-01,4,4
SAN BUENA VENTURA,malaria,numero de muestras hematicas tomadas,2008-01-01,7,7
SAN CARLOS,malaria,numero de muestras hematicas tomadas,2008-01-01,23,23
SAN IGNACIO DE VELASCO,malaria,numero de muestras hematicas tomadas,2008-01-01,271,271
SAN JOAQUIN,malaria,numero de muestras hematicas tomadas,2008-01-01,15,15
SAN JOSE DE CHIQUITOS,malaria,numero de muestras hematicas tomadas,2008-01-01,111,111
SAN JULIAN,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
SAN LORENZO(PND),malaria,numero de muestras hematicas tomadas,2008-01-01,128,128
SAN LORENZO(TJA),malaria,numero de muestras hematicas tomadas,2008-01-01,2,2
SAN LUCAS,malaria,numero de muestras hematicas tomadas,2008-01-01,5,5
SAN MATIAS,malaria,numero de muestras hematicas tomadas,2008-01-01,55,55
SAN MIGUEL DE VELASCO,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,numero de muestras hematicas tomadas,2008-01-01,13,13
SANTA CRUZ DE LA SIERRA,malaria,numero de muestras hematicas tomadas,2008-01-01,4,4
SENA,malaria,numero de muestras hematicas tomadas,2008-01-01,141,141
SOPACHUY,malaria,numero de muestras hematicas tomadas,2008-01-01,7,7
SUCRE,malaria,numero de muestras hematicas tomadas,2008-01-01,2,2
TACACOMA,malaria,numero de muestras hematicas tomadas,2008-01-01,3,3
TEOPONTE,malaria,numero de muestras hematicas tomadas,2008-01-01,40,40
TIRAQUE (CBBA),malaria,numero de muestras hematicas tomadas,2008-01-01,48,48
TOMINA,malaria,numero de muestras hematicas tomadas,2008-01-01,6,6
TORO TORO,malaria,numero de muestras hematicas tomadas,2008-01-01,9,9
VILA VILA,malaria,numero de muestras hematicas tomadas,2008-01-01,1,1
VILLA MONTES,malaria,numero de muestras hematicas tomadas,2008-01-01,552,552
VILLA NUEVA (LOMA ALTA),malaria,numero de muestras hematicas tomadas,2008-01-01,18,18
VILLA SERRANO,malaria,numero de muestras hematicas tomadas,2008-01-01,7,7
VILLA TUNARI,malaria,numero de muestras hematicas tomadas,2008-01-01,27,27
VILLA VACA GUZMAN (MUYUPAMPA),malaria,numero de muestras hematicas tomadas,2008-01-01,21,21
YACUIBA,malaria,numero de muestras hematicas tomadas,2008-01-01,602,602
APOLO,malaria,numero de muestras hematicas tomadas,2008-02-01,21,21
AYATA,malaria,numero de muestras hematicas tomadas,2008-02-01,84,84
AZURDUY,malaria,numero de muestras hematicas tomadas,2008-02-01,33,33
BAURES,malaria,numero de muestras hematicas tomadas,2008-02-01,140,140
BELLA FLOR,malaria,numero de muestras hematicas tomadas,2008-02-01,41,41
BERMEJO,malaria,numero de muestras hematicas tomadas,2008-02-01,914,914
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2008-02-01,11,11
CABEZAS,malaria,numero de muestras hematicas tomadas,2008-02-01,6,6
CAMIRI,malaria,numero de muestras hematicas tomadas,2008-02-01,36,36
CARANAVI,malaria,numero de muestras hematicas tomadas,2008-02-01,82,82
CARAPARI,malaria,numero de muestras hematicas tomadas,2008-02-01,621,621
COBIJA,malaria,numero de muestras hematicas tomadas,2008-02-01,252,252
COLOMI,malaria,numero de muestras hematicas tomadas,2008-02-01,4,4
COTOCA,malaria,numero de muestras hematicas tomadas,2008-02-01,3,3
CUEVO,malaria,numero de muestras hematicas tomadas,2008-02-01,120,120
CULPINA,malaria,numero de muestras hematicas tomadas,2008-02-01,9,9
EL TORNO,malaria,numero de muestras hematicas tomadas,2008-02-01,188,188
EL VILLAR,malaria,numero de muestras hematicas tomadas,2008-02-01,4,4
ENTRE RIOS,malaria,numero de muestras hematicas tomadas,2008-02-01,94,94
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2008-02-01,91,91
FILADELFIA,malaria,numero de muestras hematicas tomadas,2008-02-01,39,39
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de muestras hematicas tomadas,2008-02-01,44,44
GUANAY,malaria,numero de muestras hematicas tomadas,2008-02-01,28,28
GUAYARAMERIN,malaria,numero de muestras hematicas tomadas,2008-02-01,1984,1984
GUTIERREZ,malaria,numero de muestras hematicas tomadas,2008-02-01,7,7
HUACARETA,malaria,numero de muestras hematicas tomadas,2008-02-01,10,10
HUARACAJE,malaria,numero de muestras hematicas tomadas,2008-02-01,26,26
INGAVI (HUMAITA),malaria,numero de muestras hematicas tomadas,2008-02-01,15,15
IRUPANA (VILLA DE LANZA),malaria,numero de muestras hematicas tomadas,2008-02-01,2,2
IXIAMAS,malaria,numero de muestras hematicas tomadas,2008-02-01,61,61
LA ASUNTA,malaria,numero de muestras hematicas tomadas,2008-02-01,43,43
LA GUARDIA,malaria,numero de muestras hematicas tomadas,2008-02-01,15,15
LA PAZ,malaria,numero de muestras hematicas tomadas,2008-02-01,30,30
LAGUNILLAS,malaria,numero de muestras hematicas tomadas,2008-02-01,32,32
MAGDALENA,malaria,numero de muestras hematicas tomadas,2008-02-01,174,174
MAPIRI,malaria,numero de muestras hematicas tomadas,2008-02-01,29,29
MIZQUE,malaria,numero de muestras hematicas tomadas,2008-02-01,2,2
MOJOCOYA,malaria,numero de muestras hematicas tomadas,2008-02-01,10,10
MONTEAGUDO,malaria,numero de muestras hematicas tomadas,2008-02-01,76,76
