municipality,group,variable,month,Total de casos confirmados,TOTAL
ANZALDO,malaria,total de casos confirmados,2008-01-01,1,1
AYATA,malaria,total de casos confirmados,2008-01-01,2,2
AZURDUY,malaria,total de casos confirmados,2008-01-01,5,5
BAURES,malaria,total de casos confirmados,2008-01-01,15,15
BERMEJO,malaria,total de casos confirmados,2008-01-01,127,127
BUENA VISTA,malaria,total de casos confirmados,2008-01-01,15,15
CABEZAS,malaria,total de casos confirmados,2008-01-01,2,2
CARANAVI,malaria,total de casos confirmados,2008-01-01,3,3
CARAPARI,malaria,total de casos confirmados,2008-01-01,19,19
COBIJA,malaria,total de casos confirmados,2008-01-01,20,20
CUEVO,malaria,total de casos confirmados,2008-01-01,1,1
EL TORNO,malaria,total de casos confirmados,2008-01-01,101,101
ENTRE RIOS,malaria,total de casos confirmados,2008-01-01,7,7
FILADELFIA,malaria,total de casos confirmados,2008-01-01,3,3
GUANAY,malaria,total de casos confirmados,2008-01-01,1,1
GUAYARAMERIN,malaria,total de casos confirmados,2008-01-01,55,55
HUACARETA,malaria,total de casos confirmados,2008-01-01,1,1
INCAHUASI,malaria,total de casos confirmados,2008-01-01,1,1
INGAVI (HUMAITA),malaria,total de casos confirmados,2008-01-01,2,2
IXIAMAS,malaria,total de casos confirmados,2008-01-01,8,8
LA GUARDIA,malaria,total de casos confirmados,2008-01-01,3,3
MAGDALENA,malaria,total de casos confirmados,2008-01-01,1,1
MONTEAGUDO,malaria,total de casos confirmados,2008-01-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2008-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2008-01-01,12,12
PADCAYA,malaria,total de casos confirmados,2008-01-01,1,1
PADILLA,malaria,total de casos confirmados,2008-01-01,2,2
PALOS BLANCOS,malaria,total de casos confirmados,2008-01-01,5,5
POROMA,malaria,total de casos confirmados,2008-01-01,1,1
PORONGO,malaria,total de casos confirmados,2008-01-01,3,3
PORVENIR,malaria,total de casos confirmados,2008-01-01,2,2
PUERTO GONZALO MORENO,malaria,total de casos confirmados,2008-01-01,4,4
PUERTO RICO,malaria,total de casos confirmados,2008-01-01,2,2
REYES,malaria,total de casos confirmados,2008-01-01,8,8
RIBERALTA,malaria,total de casos confirmados,2008-01-01,307,307
RURRENABAQUE,malaria,total de casos confirmados,2008-01-01,4,4
SAMAIPATA,malaria,total de casos confirmados,2008-01-01,3,3
SAN BORJA,malaria,total de casos confirmados,2008-01-01,4,4
SAN CARLOS,malaria,total de casos confirmados,2008-01-01,4,4
SAN IGNACIO DE VELASCO,malaria,total de casos confirmados,2008-01-01,12,12
SAN JOAQUIN,malaria,total de casos confirmados,2008-01-01,4,4
SAN JULIAN,malaria,total de casos confirmados,2008-01-01,3,3
SAN LORENZO(PND),malaria,total de casos confirmados,2008-01-01,10,10
SAN PEDRO DE BUENA VISTA,malaria,total de casos confirmados,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,total de casos confirmados,2008-01-01,0,0
SANTA ROSA,malaria,total de casos confirmados,2008-01-01,1,1
SENA,malaria,total de casos confirmados,2008-01-01,15,15
TEOPONTE,malaria,total de casos confirmados,2008-01-01,1,1
TIRAQUE (CBBA),malaria,total de casos confirmados,2008-01-01,7,7
TORO TORO,malaria,total de casos confirmados,2008-01-01,6,6
VILLA MONTES,malaria,total de casos confirmados,2008-01-01,26,26
VILLA NUEVA (LOMA ALTA),malaria,total de casos confirmados,2008-01-01,1,1
VILLA TUNARI,malaria,total de casos confirmados,2008-01-01,1,1
YACUIBA,malaria,total de casos confirmados,2008-01-01,58,58
AYATA,malaria,total de casos confirmados,2008-02-01,16,16
BAURES,malaria,total de casos confirmados,2008-02-01,2,2
BERMEJO,malaria,total de casos confirmados,2008-02-01,61,61
CABEZAS,malaria,total de casos confirmados,2008-02-01,1,1
CAMIRI,malaria,total de casos confirmados,2008-02-01,1,1
CARANAVI,malaria,total de casos confirmados,2008-02-01,8,8
CARAPARI,malaria,total de casos confirmados,2008-02-01,22,22
CHIMORE,malaria,total de casos confirmados,2008-02-01,1,1
COBIJA,malaria,total de casos confirmados,2008-02-01,15,15
CULPINA,malaria,total de casos confirmados,2008-02-01,1,1
EL TORNO,malaria,total de casos confirmados,2008-02-01,33,33
ENTRE RIOS,malaria,total de casos confirmados,2008-02-01,2,2
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2008-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2008-02-01,5,5
GUAYARAMERIN,malaria,total de casos confirmados,2008-02-01,156,156
IXIAMAS,malaria,total de casos confirmados,2008-02-01,11,11
LA GUARDIA,malaria,total de casos confirmados,2008-02-01,1,1
LA PAZ,malaria,total de casos confirmados,2008-02-01,3,3
MAGDALENA,malaria,total de casos confirmados,2008-02-01,3,3
MOJOCOYA,malaria,total de casos confirmados,2008-02-01,9,9
MONTEAGUDO,malaria,total de casos confirmados,2008-02-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de casos confirmados,2008-02-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de casos confirmados,2008-02-01,9,9
PADILLA,malaria,total de casos confirmados,2008-02-01,1,1
