municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
ALCALA,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-01-01,13,13
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-01-01,5,5
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-01-01,5,5
CARANAVI,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
CARAPARI,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2008-01-01,3,3
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-01-01,3,3
GUANAY,malaria,tratamientos iniciados por sospecha,2008-01-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-01-01,9,9
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-01-01,9,9
INCAHUASI,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-01-01,3,3
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
MAGDALENA,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
MAPIRI,malaria,tratamientos iniciados por sospecha,2008-01-01,7,7
PADILLA,malaria,tratamientos iniciados por sospecha,2008-01-01,6,6
PASORAPA,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
POJO (CBBA),malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
POROMA,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
PORONGO,malaria,tratamientos iniciados por sospecha,2008-01-01,23,23
PRESTO,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
REYES,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-01-01,32,32
SAN JOAQUIN,malaria,tratamientos iniciados por sospecha,2008-01-01,4,4
SAN JULIAN,malaria,tratamientos iniciados por sospecha,2008-01-01,3,3
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-01-01,5,5
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-01-01,5,5
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-01-01,0,0
SUCRE,malaria,tratamientos iniciados por sospecha,2008-01-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-01-01,39,39
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-01-01,48,48
TOMINA,malaria,tratamientos iniciados por sospecha,2008-01-01,6,6
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-01-01,9,9
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2008-01-01,3,3
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-01-01,7,7
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-01-01,27,27
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-01-01,29,29
APOLO,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
AYATA,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-02-01,8,8
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-02-01,11,11
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
CARANAVI,malaria,tratamientos iniciados por sospecha,2008-02-01,24,24
CHIMORE,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2008-02-01,4,4
CUEVO,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2008-02-01,9,9
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-02-01,11,11
EL VILLAR,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
GUANAY,malaria,tratamientos iniciados por sospecha,2008-02-01,12,12
GUAYARAMERIN,malaria,tratamientos iniciados por sospecha,2008-02-01,120,120
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
LA ASUNTA,malaria,tratamientos iniciados por sospecha,2008-02-01,18,18
MAGDALENA,malaria,tratamientos iniciados por sospecha,2008-02-01,2,2
MAPIRI,malaria,tratamientos iniciados por sospecha,2008-02-01,1,1
