municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2007-01-01,101,101
ACHACACHI,otras actividades de enfermeria,inyectables,2007-01-01,693,693
ACHOCALLA,otras actividades de enfermeria,inyectables,2007-01-01,42,42
AIQUILE,otras actividades de enfermeria,inyectables,2007-01-01,594,594
ALALAY,otras actividades de enfermeria,inyectables,2007-01-01,6,6
ALCALA,otras actividades de enfermeria,inyectables,2007-01-01,74,74
ANCORAIMES,otras actividades de enfermeria,inyectables,2007-01-01,200,200
ANDAMARCA,otras actividades de enfermeria,inyectables,2007-01-01,66,66
ANTEQUERA,otras actividades de enfermeria,inyectables,2007-01-01,67,67
ANZALDO,otras actividades de enfermeria,inyectables,2007-01-01,101,101
APOLO,otras actividades de enfermeria,inyectables,2007-01-01,635,635
ARAMPAMPA,otras actividades de enfermeria,inyectables,2007-01-01,55,55
ARANI,otras actividades de enfermeria,inyectables,2007-01-01,121,121
ARBIETO,otras actividades de enfermeria,inyectables,2007-01-01,167,167
ARQUE,otras actividades de enfermeria,inyectables,2007-01-01,66,66
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2007-01-01,3441,3441
ATOCHA,otras actividades de enfermeria,inyectables,2007-01-01,3197,3197
AUCAPATA,otras actividades de enfermeria,inyectables,2007-01-01,29,29
AYATA,otras actividades de enfermeria,inyectables,2007-01-01,71,71
AYO AYO,otras actividades de enfermeria,inyectables,2007-01-01,41,41
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2007-01-01,619,619
AZURDUY,otras actividades de enfermeria,inyectables,2007-01-01,229,229
BATALLAS,otras actividades de enfermeria,inyectables,2007-01-01,338,338
BAURES,otras actividades de enfermeria,inyectables,2007-01-01,293,293
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2007-01-01,11,11
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2007-01-01,48,48
BELLA FLOR,otras actividades de enfermeria,inyectables,2007-01-01,36,36
BERMEJO,otras actividades de enfermeria,inyectables,2007-01-01,6208,6208
BETANZOS,otras actividades de enfermeria,inyectables,2007-01-01,1175,1175
BOLIVAR,otras actividades de enfermeria,inyectables,2007-01-01,108,108
BOLPEBRA,otras actividades de enfermeria,inyectables,2007-01-01,13,13
BOYUIBE,otras actividades de enfermeria,inyectables,2007-01-01,358,358
BUENA VISTA,otras actividades de enfermeria,inyectables,2007-01-01,381,381
CABEZAS,otras actividades de enfermeria,inyectables,2007-01-01,953,953
CAIROMA,otras actividades de enfermeria,inyectables,2007-01-01,217,217
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2007-01-01,169,169
CAJUATA,otras actividades de enfermeria,inyectables,2007-01-01,130,130
CALACOTO,otras actividades de enfermeria,inyectables,2007-01-01,45,45
CALAMARCA,otras actividades de enfermeria,inyectables,2007-01-01,136,136
CAMARGO,otras actividades de enfermeria,inyectables,2007-01-01,545,545
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2007-01-01,96,96
CAMIRI,otras actividades de enfermeria,inyectables,2007-01-01,5798,5798
CAPINOTA,otras actividades de enfermeria,inyectables,2007-01-01,784,784
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2007-01-01,67,67
CARACOLLO,otras actividades de enfermeria,inyectables,2007-01-01,443,443
CARANAVI,otras actividades de enfermeria,inyectables,2007-01-01,2734,2734
CARAPARI,otras actividades de enfermeria,inyectables,2007-01-01,476,476
CARIPUYO,otras actividades de enfermeria,inyectables,2007-01-01,105,105
