municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2007-01-01,22,22
ACHACACHI,otras actividades de enfermeria,sueros,2007-01-01,55,55
ACHOCALLA,otras actividades de enfermeria,sueros,2007-01-01,1,1
AIQUILE,otras actividades de enfermeria,sueros,2007-01-01,82,82
ALALAY,otras actividades de enfermeria,sueros,2007-01-01,1,1
ALCALA,otras actividades de enfermeria,sueros,2007-01-01,11,11
ANCORAIMES,otras actividades de enfermeria,sueros,2007-01-01,19,19
ANDAMARCA,otras actividades de enfermeria,sueros,2007-01-01,5,5
ANTEQUERA,otras actividades de enfermeria,sueros,2007-01-01,11,11
ANZALDO,otras actividades de enfermeria,sueros,2007-01-01,3,3
APOLO,otras actividades de enfermeria,sueros,2007-01-01,70,70
ARAMPAMPA,otras actividades de enfermeria,sueros,2007-01-01,7,7
ARANI,otras actividades de enfermeria,sueros,2007-01-01,14,14
ARBIETO,otras actividades de enfermeria,sueros,2007-01-01,6,6
ARQUE,otras actividades de enfermeria,sueros,2007-01-01,13,13
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2007-01-01,305,305
ATOCHA,otras actividades de enfermeria,sueros,2007-01-01,289,289
AYATA,otras actividades de enfermeria,sueros,2007-01-01,4,4
AYO AYO,otras actividades de enfermeria,sueros,2007-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2007-01-01,27,27
AZURDUY,otras actividades de enfermeria,sueros,2007-01-01,16,16
BATALLAS,otras actividades de enfermeria,sueros,2007-01-01,19,19
BAURES,otras actividades de enfermeria,sueros,2007-01-01,47,47
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2007-01-01,1,1
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2007-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,sueros,2007-01-01,1,1
BERMEJO,otras actividades de enfermeria,sueros,2007-01-01,766,766
BETANZOS,otras actividades de enfermeria,sueros,2007-01-01,96,96
BOLIVAR,otras actividades de enfermeria,sueros,2007-01-01,13,13
BOYUIBE,otras actividades de enfermeria,sueros,2007-01-01,48,48
BUENA VISTA,otras actividades de enfermeria,sueros,2007-01-01,53,53
CABEZAS,otras actividades de enfermeria,sueros,2007-01-01,129,129
CAIROMA,otras actividades de enfermeria,sueros,2007-01-01,34,34
"CAIZA ""D""",otras actividades de enfermeria,sueros,2007-01-01,12,12
CAJUATA,otras actividades de enfermeria,sueros,2007-01-01,34,34
CALACOTO,otras actividades de enfermeria,sueros,2007-01-01,5,5
CALAMARCA,otras actividades de enfermeria,sueros,2007-01-01,18,18
CAMARGO,otras actividades de enfermeria,sueros,2007-01-01,33,33
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2007-01-01,19,19
CAMIRI,otras actividades de enfermeria,sueros,2007-01-01,787,787
CAPINOTA,otras actividades de enfermeria,sueros,2007-01-01,96,96
CAQUIAVIRI,otras actividades de enfermeria,sueros,2007-01-01,8,8
CARACOLLO,otras actividades de enfermeria,sueros,2007-01-01,24,24
CARANAVI,otras actividades de enfermeria,sueros,2007-01-01,213,213
CARAPARI,otras actividades de enfermeria,sueros,2007-01-01,45,45
CARIPUYO,otras actividades de enfermeria,sueros,2007-01-01,24,24
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2007-01-01,9,9
CHALLAPATA,otras actividades de enfermeria,sueros,2007-01-01,65,65
CHAQUI,otras actividades de enfermeria,sueros,2007-01-01,15,15
CHARAGUA,otras actividades de enfermeria,sueros,2007-01-01,83,83
CHARAÑA,otras actividades de enfermeria,sueros,2007-01-01,4,4
CHAYANTA,otras actividades de enfermeria,sueros,2007-01-01,46,46
CHIMORE,otras actividades de enfermeria,sueros,2007-01-01,25,25
CHIPAYA,otras actividades de enfermeria,sueros,2007-01-01,2,2
CHOQUE COTA,otras actividades de enfermeria,sueros,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2007-01-01,140,140
CHUMA,otras actividades de enfermeria,sueros,2007-01-01,12,12
CLIZA,otras actividades de enfermeria,sueros,2007-01-01,30,30
COBIJA,otras actividades de enfermeria,sueros,2007-01-01,543,543
COCHABAMBA,otras actividades de enfermeria,sueros,2007-01-01,5316,5316
COIPASA,otras actividades de enfermeria,sueros,2007-01-01,1,1
COLCAPIRHUA,otras actividades de enfermeria,sueros,2007-01-01,8,8
"COLCHA ""K""",otras actividades de enfermeria,sueros,2007-01-01,33,33
COLLANA,otras actividades de enfermeria,sueros,2007-01-01,1,1
COLOMI,otras actividades de enfermeria,sueros,2007-01-01,25,25
COLPA BELGICA,otras actividades de enfermeria,sueros,2007-01-01,24,24
COLQUECHACA,otras actividades de enfermeria,sueros,2007-01-01,117,117
COLQUENCHA,otras actividades de enfermeria,sueros,2007-01-01,11,11
COLQUIRI,otras actividades de enfermeria,sueros,2007-01-01,53,53
COMANCHE,otras actividades de enfermeria,sueros,2007-01-01,3,3
COMARAPA,otras actividades de enfermeria,sueros,2007-01-01,115,115
CONCEPCION,otras actividades de enfermeria,sueros,2007-01-01,71,71
COPACABANA,otras actividades de enfermeria,sueros,2007-01-01,38,38
CORIPATA,otras actividades de enfermeria,sueros,2007-01-01,12,12
CORO CORO,otras actividades de enfermeria,sueros,2007-01-01,9,9
COROICO,otras actividades de enfermeria,sueros,2007-01-01,195,195
CORQUE,otras actividades de enfermeria,sueros,2007-01-01,7,7
COTAGAITA,otras actividades de enfermeria,sueros,2007-01-01,164,164
COTOCA,otras actividades de enfermeria,sueros,2007-01-01,342,342
CUATRO CAÑADAS,otras actividades de enfermeria,sueros,2007-01-01,67,67
CUEVO,otras actividades de enfermeria,sueros,2007-01-01,5,5
CULPINA,otras actividades de enfermeria,sueros,2007-01-01,71,71
CURAHUARA DE CARANGAS,otras actividades de enfermeria,sueros,2007-01-01,6,6
CURVA,otras actividades de enfermeria,sueros,2007-01-01,5,5
DESAGUADERO,otras actividades de enfermeria,sueros,2007-01-01,5,5
EL ALTO,otras actividades de enfermeria,sueros,2007-01-01,4439,4439
EL CHORO,otras actividades de enfermeria,sueros,2007-01-01,5,5
EL PUENTE(STC),otras actividades de enfermeria,sueros,2007-01-01,17,17
EL PUENTE(TJA),otras actividades de enfermeria,sueros,2007-01-01,58,58
EL TORNO,otras actividades de enfermeria,sueros,2007-01-01,206,206
EL VILLAR,otras actividades de enfermeria,sueros,2007-01-01,21,21
ENTRE RIOS,otras actividades de enfermeria,sueros,2007-01-01,135,135
ENTRE RIOS,otras actividades de enfermeria,sueros,2007-01-01,15,15
ESMERALDA,otras actividades de enfermeria,sueros,2007-01-01,1,1
EUCALIPTUS,otras actividades de enfermeria,sueros,2007-01-01,5,5
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,sueros,2007-01-01,6,6
EXALTACION,otras actividades de enfermeria,sueros,2007-01-01,7,7
FERNANDEZ ALONSO,otras actividades de enfermeria,sueros,2007-01-01,38,38
FILADELFIA,otras actividades de enfermeria,sueros,2007-01-01,32,32
GENERAL SAAVEDRA,otras actividades de enfermeria,sueros,2007-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,sueros,2007-01-01,6,6
GUANAY,otras actividades de enfermeria,sueros,2007-01-01,36,36
GUAQUI,otras actividades de enfermeria,sueros,2007-01-01,4,4
GUAYARAMERIN,otras actividades de enfermeria,sueros,2007-01-01,1236,1236
GUTIERREZ,otras actividades de enfermeria,sueros,2007-01-01,40,40
HUACARETA,otras actividades de enfermeria,sueros,2007-01-01,30,30
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,sueros,2007-01-01,8,8
HUACHACALLA,otras actividades de enfermeria,sueros,2007-01-01,11,11
HUANUNI,otras actividades de enfermeria,sueros,2007-01-01,159,159
HUARACAJE,otras actividades de enfermeria,sueros,2007-01-01,20,20
HUAYLLAMARCA,otras actividades de enfermeria,sueros,2007-01-01,5,5
ICHOCA,otras actividades de enfermeria,sueros,2007-01-01,6,6
ICLA,otras actividades de enfermeria,sueros,2007-01-01,29,29
INCAHUASI,otras actividades de enfermeria,sueros,2007-01-01,39,39
INGAVI (HUMAITA),otras actividades de enfermeria,sueros,2007-01-01,3,3
INQUISIVI,otras actividades de enfermeria,sueros,2007-01-01,22,22
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,sueros,2007-01-01,34,34
IXIAMAS,otras actividades de enfermeria,sueros,2007-01-01,37,37
JESUS DE MACHACA,otras actividades de enfermeria,sueros,2007-01-01,37,37
LA ASUNTA,otras actividades de enfermeria,sueros,2007-01-01,21,21
LA GUARDIA,otras actividades de enfermeria,sueros,2007-01-01,160,160
LA PAZ,otras actividades de enfermeria,sueros,2007-01-01,27001,27001
LAGUNILLAS,otras actividades de enfermeria,sueros,2007-01-01,22,22
LAJA,otras actividades de enfermeria,sueros,2007-01-01,10,10
LAS CARRERAS,otras actividades de enfermeria,sueros,2007-01-01,8,8
LICOMA PAMPA,otras actividades de enfermeria,sueros,2007-01-01,4,4
LLALLAGUA,otras actividades de enfermeria,sueros,2007-01-01,218,218
LLICA,otras actividades de enfermeria,sueros,2007-01-01,5,5
LORETO,otras actividades de enfermeria,sueros,2007-01-01,5,5
LURIBAY,otras actividades de enfermeria,sueros,2007-01-01,14,14
MACHACAMARCA,otras actividades de enfermeria,sueros,2007-01-01,4,4
MACHARETI,otras actividades de enfermeria,sueros,2007-01-01,19,19
MAGDALENA,otras actividades de enfermeria,sueros,2007-01-01,211,211
MAIRANA,otras actividades de enfermeria,sueros,2007-01-01,134,134
MALLA,otras actividades de enfermeria,sueros,2007-01-01,7,7
MAPIRI,otras actividades de enfermeria,sueros,2007-01-01,46,46
MECAPACA,otras actividades de enfermeria,sueros,2007-01-01,6,6
MINEROS,otras actividades de enfermeria,sueros,2007-01-01,5,5
MIZQUE,otras actividades de enfermeria,sueros,2007-01-01,29,29
MOCOMOCO,otras actividades de enfermeria,sueros,2007-01-01,5,5
MOJINETE,otras actividades de enfermeria,sueros,2007-01-01,4,4
MOJOCOYA,otras actividades de enfermeria,sueros,2007-01-01,9,9
MONTEAGUDO,otras actividades de enfermeria,sueros,2007-01-01,455,455
MONTERO,otras actividades de enfermeria,sueros,2007-01-01,4248,4248
MORO MORO,otras actividades de enfermeria,sueros,2007-01-01,11,11
MOROCHATA,otras actividades de enfermeria,sueros,2007-01-01,26,26
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,sueros,2007-01-01,4,4
NAZACARA DE PACAJES,otras actividades de enfermeria,sueros,2007-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria,sueros,2007-01-01,3,3
OCURI,otras actividades de enfermeria,sueros,2007-01-01,22,22
OKINAWA,otras actividades de enfermeria,sueros,2007-01-01,29,29
OMEREQUE,otras actividades de enfermeria,sueros,2007-01-01,4,4
ORURO,otras actividades de enfermeria,sueros,2007-01-01,11376,11376
PADCAYA,otras actividades de enfermeria,sueros,2007-01-01,94,94
PADILLA,otras actividades de enfermeria,sueros,2007-01-01,270,270
PAILON,otras actividades de enfermeria,sueros,2007-01-01,25,25
PALCA,otras actividades de enfermeria,sueros,2007-01-01,8,8
PALOS BLANCOS,otras actividades de enfermeria,sueros,2007-01-01,74,74
PAMPA AULLAGAS,otras actividades de enfermeria,sueros,2007-01-01,1,1
PAMPA GRANDE,otras actividades de enfermeria,sueros,2007-01-01,8,8
PAPEL PAMPA,otras actividades de enfermeria,sueros,2007-01-01,2,2
PASORAPA,otras actividades de enfermeria,sueros,2007-01-01,9,9
PATACAMAYA,otras actividades de enfermeria,sueros,2007-01-01,11,11
PAZÑA,otras actividades de enfermeria,sueros,2007-01-01,21,21
PELECHUCO,otras actividades de enfermeria,sueros,2007-01-01,6,6
POCOATA,otras actividades de enfermeria,sueros,2007-01-01,26,26
POCONA,otras actividades de enfermeria,sueros,2007-01-01,9,9
POJO (CBBA),otras actividades de enfermeria,sueros,2007-01-01,9,9
POOPO,otras actividades de enfermeria,sueros,2007-01-01,14,14
PORCO,otras actividades de enfermeria,sueros,2007-01-01,10,10
POROMA,otras actividades de enfermeria,sueros,2007-01-01,30,30
PORONGO,otras actividades de enfermeria,sueros,2007-01-01,9,9
PORTACHUELO,otras actividades de enfermeria,sueros,2007-01-01,132,132
PORVENIR,otras actividades de enfermeria,sueros,2007-01-01,52,52
POSTRER VALLE,otras actividades de enfermeria,sueros,2007-01-01,2,2
POTOSI,otras actividades de enfermeria,sueros,2007-01-01,5569,5569
PRESTO,otras actividades de enfermeria,sueros,2007-01-01,24,24
PUCARA,otras actividades de enfermeria,sueros,2007-01-01,3,3
PUCARANI,otras actividades de enfermeria,sueros,2007-01-01,16,16
PUERTO ACOSTA,otras actividades de enfermeria,sueros,2007-01-01,136,136
PUERTO CARABUCO,otras actividades de enfermeria,sueros,2007-01-01,17,17
PUERTO GONZALO MORENO,otras actividades de enfermeria,sueros,2007-01-01,8,8
