municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,61,61
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,179,179
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,40,40
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,149,149
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,5,5
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,15,15
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,36,36
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,30,30
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,3,3
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,52,52
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,63,63
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,23,23
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,100,100
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,74,74
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,43,43
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,421,421
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,624,624
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,24,24
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,38,38
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,68,68
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,45,45
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,51,51
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,155,155
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,4,4
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,16,16
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,7,7
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,1206,1206
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,146,146
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,6,6
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,4,4
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,92,92
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,64,64
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,143,143
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,78,78
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,24,24
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,86,86
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,11,11
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,50,50
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,117,117
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,33,33
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,988,988
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,248,248
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,34,34
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,165,165
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,568,568
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,9,9
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2007-01-01,94,94
