,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,0,0,1,0,1,0
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,0,1,0,0,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,1,0,0,0,1,0
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-01-01,2,0,0,0,2,0
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,1,0,0,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,0,0,1,0,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,1,0,0,0,1,0
SAMAIPATA,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,0,1,0,1,0
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,0,1,0,1,0
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,0,1,0,1,0
YAPACANI,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,1,0,0,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2024-02-01,0,1,0,0,0,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,1,0,0,0,1,0
COMARAPA,chagas,tratamientos rn a menores de 1 ano de edad,2024-03-01,0,0,0,1,0,1
