,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INICIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INICIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AZURDUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,0,1,0,1,0
COBIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,1,0,0,0,1,0
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,2,1,4,2,6,3
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,1,0,0,0,1,0
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,0,3,0,3,0
QUILLACOLLO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,3,1,4,1,7
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,1,2,1,0,2,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,1,0,0,0,1
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-01-01,0,0,0,1,0,1
FERNANDEZ ALONSO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,0,1,2,0,2,1
GAIOC JATUN AYLLU YURA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,1,1,0,0,1,1
POROMA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,0,0,1,0,1,0
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,1,0,0,0,1,0
SAN BORJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2024-02-01,0,0,0,1,0,1
