,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
AIQUILE,chagas,tratamientos de 15 anos y mas,2024-01-01,0,2,0,0,0,2
ARBIETO,chagas,tratamientos de 15 anos y mas,2024-01-01,0,2,0,1,0,3
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos de 15 anos y mas,2024-01-01,1,0,0,0,1,0
AZURDUY,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,1,0,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2024-01-01,0,1,0,0,0,1
CARAPARI,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,1,0,1
CKOCHAS,chagas,tratamientos de 15 anos y mas,2024-01-01,0,1,0,0,0,1
CLIZA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,1,0,0,0,1
COCAPATA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2024-01-01,6,7,7,12,13,19
COMARAPA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,1,0,1
EL VILLAR,chagas,tratamientos de 15 anos y mas,2024-01-01,1,2,0,0,1,2
ENTRE RIOS CBBA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,1,2,1,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,2,0,2
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,2,0,1,0,3
MAIRANA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,1,0,0,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2024-01-01,2,4,0,0,2,4
MOJOCOYA,chagas,tratamientos de 15 anos y mas,2024-01-01,0,1,0,1,0,2
