,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ARBIETO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,0,1,0,1,0
AZURDUY,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,0,0,2,0,2
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,1,0,0,0,1
RAVELO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,0,1,0,1,0
SAN PEDRO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,1,0,0,0,1
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-01-01,0,2,0,0,0,2
FERNANDEZ ALONSO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-02-01,1,0,0,0,1,0
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-02-01,1,0,0,2,1,2
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-03-01,0,0,0,1,0,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-03-01,1,0,0,0,1,0
QUILLACOLLO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-03-01,3,0,0,0,3,0
SACABA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-03-01,1,0,0,0,1,0
FERNANDEZ ALONSO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-04-01,0,1,0,0,0,1
SIPE SIPE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2024-04-01,0,1,0,0,0,1
