municipality,group,variable,month,Neumonías en menores de 5 años,TOTAL
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,4,4
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
CAMARGO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,10,10
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CHUMA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,6,6
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,11,11
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,48,48
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,2,2
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,32,32
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2008-01-01,1,1
