municipality,group,variable,month,Otros en menores de 5 años,TOTAL
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,7,7
APOLO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,33,33
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,25,25
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,9,9
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,48,48
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,8,8
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,4,4
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2008-01-01,6,6
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,28,28
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,112,112
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,5,5
COROICO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,5,5
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,160,160
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,6,6
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,152,152
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,7,7
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,646,646
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,16,16
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,4,4
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,6,6
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,88,88
OCURI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
ORURO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,254,254
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
PAILON,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,38,38
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,22,22
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,7,7
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,29,29
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,46,46
QUIRUSILLAS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
REYES,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,21,21
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,4,4
SACABA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,48,48
SACACA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,48,48
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,8,8
SAN BUENA VENTURA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,9,9
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,68,68
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,3,3
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2008-01-01,969,969
