municipality,group,variable,month,Discapacitados,TOTAL
GUAYARAMERIN,diagnostico de egreso,discapacitados,2008-01-01,9,9
ORURO,diagnostico de egreso,discapacitados,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-01-01,0,0
TUPIZA,diagnostico de egreso,discapacitados,2008-01-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-02-01,2,2
EL ALTO,diagnostico de egreso,discapacitados,2008-02-01,5,5
LA PAZ,diagnostico de egreso,discapacitados,2008-02-01,3,3
RIBERALTA,diagnostico de egreso,discapacitados,2008-02-01,4,4
SANTA ROSA,diagnostico de egreso,discapacitados,2008-02-01,48,48
APOLO,diagnostico de egreso,discapacitados,2008-03-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-03-01,2,2
EL ALTO,diagnostico de egreso,discapacitados,2008-03-01,7,7
GUAYARAMERIN,diagnostico de egreso,discapacitados,2008-03-01,3,3
ORURO,diagnostico de egreso,discapacitados,2008-03-01,1,1
SACABA,diagnostico de egreso,discapacitados,2008-03-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-03-01,0,0
TARIJA,diagnostico de egreso,discapacitados,2008-03-01,67,67
APOLO,diagnostico de egreso,discapacitados,2008-04-01,1,1
COBIJA,diagnostico de egreso,discapacitados,2008-04-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-04-01,2,2
EL ALTO,diagnostico de egreso,discapacitados,2008-04-01,5,5
GUAYARAMERIN,diagnostico de egreso,discapacitados,2008-04-01,1,1
ORURO,diagnostico de egreso,discapacitados,2008-04-01,1,1
PATACAMAYA,diagnostico de egreso,discapacitados,2008-04-01,1,1
SAN CARLOS,diagnostico de egreso,discapacitados,2008-04-01,1,1
SAN RAFAEL,diagnostico de egreso,discapacitados,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-04-01,0,0
SUCRE,diagnostico de egreso,discapacitados,2008-04-01,3,3
TUPIZA,diagnostico de egreso,discapacitados,2008-04-01,1,1
ATOCHA,diagnostico de egreso,discapacitados,2008-05-01,2,2
COCHABAMBA,diagnostico de egreso,discapacitados,2008-05-01,1,1
EL ALTO,diagnostico de egreso,discapacitados,2008-05-01,6,6
SAN CARLOS,diagnostico de egreso,discapacitados,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-05-01,0,0
SUCRE,diagnostico de egreso,discapacitados,2008-05-01,2,2
TARIJA,diagnostico de egreso,discapacitados,2008-05-01,50,50
CAMARGO,diagnostico de egreso,discapacitados,2008-06-01,1,1
CAMIRI,diagnostico de egreso,discapacitados,2008-06-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-06-01,1,1
EL ALTO,diagnostico de egreso,discapacitados,2008-06-01,4,4
SAN BORJA,diagnostico de egreso,discapacitados,2008-06-01,17,17
SAN CARLOS,diagnostico de egreso,discapacitados,2008-06-01,1,1
SAN IGNACIO,diagnostico de egreso,discapacitados,2008-06-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,discapacitados,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-06-01,0,0
SUCRE,diagnostico de egreso,discapacitados,2008-06-01,4,4
CAMIRI,diagnostico de egreso,discapacitados,2008-07-01,1,1
COBIJA,diagnostico de egreso,discapacitados,2008-07-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-07-01,1,1
EXALTACION,diagnostico de egreso,discapacitados,2008-07-01,2,2
LA PAZ,diagnostico de egreso,discapacitados,2008-07-01,1,1
RURRENABAQUE,diagnostico de egreso,discapacitados,2008-07-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,discapacitados,2008-07-01,10,10
SAN IGNACIO DE VELASCO,diagnostico de egreso,discapacitados,2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-07-01,0,0
SUCRE,diagnostico de egreso,discapacitados,2008-07-01,4,4
YAPACANI,diagnostico de egreso,discapacitados,2008-07-01,2,2
EL ALTO,diagnostico de egreso,discapacitados,2008-08-01,1,1
RURRENABAQUE,diagnostico de egreso,discapacitados,2008-08-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,discapacitados,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-08-01,2,2
BETANZOS,diagnostico de egreso,discapacitados,2008-09-01,4,4
CARMEN RIVERO TORREZ,diagnostico de egreso,discapacitados,2008-09-01,2,2
COBIJA,diagnostico de egreso,discapacitados,2008-09-01,1,1
COLCAPIRHUA,diagnostico de egreso,discapacitados,2008-09-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,discapacitados,2008-09-01,3,3
SAN LUCAS,diagnostico de egreso,discapacitados,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-09-01,8,8
TARABUCO,diagnostico de egreso,discapacitados,2008-09-01,1,1
TRIGAL,diagnostico de egreso,discapacitados,2008-09-01,1,1
TUPIZA,diagnostico de egreso,discapacitados,2008-09-01,2,2
YACUIBA,diagnostico de egreso,discapacitados,2008-09-01,1,1
COCHABAMBA,diagnostico de egreso,discapacitados,2008-10-01,1,1
EL ALTO,diagnostico de egreso,discapacitados,2008-10-01,1,1
MONTEAGUDO,diagnostico de egreso,discapacitados,2008-10-01,1,1
ORURO,diagnostico de egreso,discapacitados,2008-10-01,1,1
POTOSI,diagnostico de egreso,discapacitados,2008-10-01,19,19
PUERTO SUAREZ,diagnostico de egreso,discapacitados,2008-10-01,1,1
SAN BORJA,diagnostico de egreso,discapacitados,2008-10-01,2,2
SAN MATIAS,diagnostico de egreso,discapacitados,2008-10-01,1,1
SAN PEDRO,diagnostico de egreso,discapacitados,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-10-01,1,1
VINTO,diagnostico de egreso,discapacitados,2008-10-01,1,1
YAPACANI,diagnostico de egreso,discapacitados,2008-10-01,1,1
APOLO,diagnostico de egreso,discapacitados,2008-11-01,1,1
CHARAGUA,diagnostico de egreso,discapacitados,2008-11-01,2,2
CLIZA,diagnostico de egreso,discapacitados,2008-11-01,1,1
PUERTO SUAREZ,diagnostico de egreso,discapacitados,2008-11-01,1,1
SAN BORJA,diagnostico de egreso,discapacitados,2008-11-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,discapacitados,2008-11-01,2,2
SANTA ANA,diagnostico de egreso,discapacitados,2008-11-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-11-01,2,2
TIRAQUE (CBBA),diagnostico de egreso,discapacitados,2008-11-01,1,1
VINTO,diagnostico de egreso,discapacitados,2008-11-01,1,1
YACUIBA,diagnostico de egreso,discapacitados,2008-11-01,4,4
CAMIRI,diagnostico de egreso,discapacitados,2008-12-01,2,2
CARMEN RIVERO TORREZ,diagnostico de egreso,discapacitados,2008-12-01,2,2
PORTACHUELO,diagnostico de egreso,discapacitados,2008-12-01,1,1
SAN BORJA,diagnostico de egreso,discapacitados,2008-12-01,2,2
SAN LUCAS,diagnostico de egreso,discapacitados,2008-12-01,1,1
SANTA ANA,diagnostico de egreso,discapacitados,2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,discapacitados,2008-12-01,2,2
TIPUANI,diagnostico de egreso,discapacitados,2008-12-01,1,1
VINTO,diagnostico de egreso,discapacitados,2008-12-01,3,3
YACUIBA,diagnostico de egreso,discapacitados,2008-12-01,1,1
