municipality,group,variable,month,Diabetes en mayores de 5 años,TOTAL
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,2,2
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,4,4
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,10,10
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,14,14
LLALLAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,1,1
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,12,12
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,48,48
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,1,1
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,2,2
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,8,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,3,3
SAN JOAQUIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,1,1
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,38,38
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,9,9
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,1,1
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,2,2
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,6,6
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,18,18
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-01-01,4,4
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,2,2
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,2,2
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,5,5
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,21,21
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,2,2
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,14,14
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,7,7
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,15,15
MONTEAGUDO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,5,5
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,44,44
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,7,7
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,3,3
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,2,2
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,2,2
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,38,38
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,4,4
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,12,12
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,16,16
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-02-01,1,1
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,2,2
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,2,2
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,4,4
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,21,21
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,3,3
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,5,5
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,3,3
ENTRE RIOS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,7,7
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,13,13
LLALLAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
MACHARETI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,2,2
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,2,2
PATACAMAYA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,40,40
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,4,4
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,3,3
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,4,4
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,2,2
SAN LUCAS,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,30,30
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,3,3
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,41,41
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,10,10
TIQUIPAYA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,5,5
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,1,1
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-03-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,4,4
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,14,14
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,2,2
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,5,5
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,14,14
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,15,15
MORO MORO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,20,20
PATACAMAYA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,32,32
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,6,6
PUERTO VILLARROEL,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,2,2
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,7,7
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,4,4
SAMAIPATA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,6,6
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,83,83
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,10,10
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,4,4
TARABUCO,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,1,1
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,24,24
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,5,5
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,28,28
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,2,2
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-04-01,2,2
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2008-05-01,4,4
