municipality,group,variable,month,Diarreas en menores de 5 años,TOTAL
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,10,10
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,5,5
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,23,23
CARACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,14,14
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,16,16
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,5,5
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,15,15
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,76,76
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,5,5
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,11,11
CUEVO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
DESAGUADERO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,41,41
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,7,7
ENTRE RIOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,80,80
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,13,13
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,4,4
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,7,7
HUARACAJE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,10,10
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,67,67
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,15,15
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,6,6
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,4,4
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,7,7
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,60,60
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,49,49
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,13,13
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
PAMPA GRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
POROMA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,8,8
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,82,82
PRESTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,16,16
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,21,21
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,12,12
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,10,10
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,44,44
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,22,22
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,9,9
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,13,13
SAN BUENA VENTURA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,28,28
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,13,13
SAN JAVIER(STC),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,46,46
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,6,6
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,4,4
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,8,8
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SAN RAMON,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SAN RAMON,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,644,644
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SIPE SIPE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,38,38
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,12,12
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,13,13
TOLEDO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,3,3
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,2,2
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,45,45
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,7,7
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,12,12
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,1,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,7,7
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,17,17
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,21,21
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,5,5
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,4,4
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,11,11
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,36,36
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2008-01-01,16,16
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,12,12
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,1,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,12,12
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,10,10
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,79,79
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,7,7
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,3,3
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,4,4
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,2,2
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2008-02-01,12,12
