municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,13,13
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
MACHARETI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,3,3
MORO MORO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,4,4
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,7,7
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,36,36
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,3,3
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,4,4
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,11,11
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
SAN BUENA VENTURA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,14,14
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,19,19
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,5,5
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,15,15
TUPIZA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,14,14
URIONDO (A. CONCEPCION),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,2,2
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-01-01,5,5
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,3,3
ATOCHA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,3,3
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,4,4
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,3,3
CULPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,7,7
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,5,5
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,5,5
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,2,2
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
MORO MORO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,3,3
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,4,4
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,46,46
PUERTO CARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,2,2
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,2,2
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
SAN BUENA VENTURA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,8,8
SAN LUCAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,18,18
SANTA ROSA DEL SARA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,13,13
TAPACARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,19,19
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,33,33
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,1,1
VILLA TUNARI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,4,4
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-02-01,4,4
APOLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,2,2
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,2,2
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,31,31
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
MACHARETI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,3,3
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,5,5
MORO MORO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
OCURI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,3,3
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,52,52
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,2,2
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,3,3
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,3,3
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,11,11
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,8,8
SAN IGNACIO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,2,2
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
SAN LUCAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2008-03-01,1,1
