,group,variable,month,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,5,2,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,1,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,12,0,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,36,13,49
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,38,0,38
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,1,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,3,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,30,0,30
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,2,2
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,6,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,5,6
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,5,0,5
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,1,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,4,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,8,15,23
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,1,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,3,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,4,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,111,0,111
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,49,9,58
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,5,7
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,6,6
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,9,0,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,0,10,10
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-01-01,2,0,2
