,group,variable,month,L 19.9 SRP DOSIS ÚNICA CANTIDAD,L 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,4,8,12
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,5,0,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,8,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,12,13
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,3,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,32,33
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,5,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,8,9
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,5,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,5,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,3,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,110,0,110
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,19,30,49
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,5,0,5
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,116,24,140
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,9,0,9
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,5,7
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,10,10
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,3,2,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,9,0,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,147,9,156
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,6,0,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,3,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,3,3
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,38,3,41
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,3,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,4,4
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,10,10
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,14,0,14
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,16,7,23
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,14,4,18
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,19,7,26
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,2,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,0,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,2,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,13,0,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,179,28,207
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,3,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-01-01,2,0,2
