,group,variable,month,L 19.3 DPT 3RA DOSIS CANTIDAD,L 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,2,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,11,1,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,17,2,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,8,0,8
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,4,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,3,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,37,6,43
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,6,1,7
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,14,0,14
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,7,0,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,8,0,8
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,4,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,6,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,86,0,86
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,12,0,12
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,5,0,5
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-01-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,3,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,5,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,5,1,6
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,4,4
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,3,0,3
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,12,11,23
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,31,33,64
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,5,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,0,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,3,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,3,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,71,5,76
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,4,1,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,4,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,1,3
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,4,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,19,0,19
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,1,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,8,0,8
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,2,1,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,8,4,12
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-02-01,1,0,1
