,group,variable,month,L 19.4 DPT 4TA DOSIS CANTIDAD,L 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,5,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,3,8
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,1,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,0,7
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,0,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,1,8
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,3,5
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,3,0,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,3,4
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,0,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,3,8
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,27,8,35
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
CATACORA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,58,58
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,3,7,10
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,0,7
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,13,2,15
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,14,6,20
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,12,0,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,265,0,265
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,8,4,12
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,18,5,23
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,5,5
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,3,4
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,8,10
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,12,1,13
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,3,3
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,3,1,4
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,329,75,404
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,41,0,41
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,4,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,3,4
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,4,0,4
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,10,2,12
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,2,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,37,1,38
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,291,83,374
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,20,20
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,3,4
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,3,3
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,10,0,10
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,5,6
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,8,0,8
MAIRANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,0,7
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,11,0,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,71,0,71
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,3,8,11
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,1,3
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,4,5
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,70,0,70
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,2,0,2
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,1,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,7,7
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,22,29
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,2,3
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,10,10
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,10,1,11
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,46,0,46
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,9,2,11
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,1,2
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,7,2,9
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-01-01,1,0,1
