,group,variable,month,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,10,12
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,46,23,69
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,4,6,10
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,1,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,6,13,19
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,1,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,5,5
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,10,0,10
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,7,7
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,3,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,24,0,24
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,4,3,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,6,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,16,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,4,4
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,5,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,0,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,95,4,99
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,1,3
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,1,3
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,12,12
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,1,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,6,7,13
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,91,7,98
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,1,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,17,0,17
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,3,4,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,7,0,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,20,25
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,8,0,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,12,12
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,26,0,26
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,148,6,154
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,3,0,3
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,7,9
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,38,2,40
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,7,0,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,52,57
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,9,2,11
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,4,0,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,10,0,10
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,7,7
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,4,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,0,5
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,3,32,35
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,4,5,9
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,6,11
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,7,3,10
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,1,6
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,6,10,16
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,0,5
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,0,10,10
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-01-01,5,0,5
