,group,variable,month,L 19.2 DPT 2DA DOSIS CANTIDAD,L 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,5,2,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,8,6,14
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,4,4
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,1,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,11,0,11
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,60,14,74
COLLANA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,4,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,40,0,40
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,1,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,3,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,12,0,12
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,6,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,0,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,5,6
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,0,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,4,0,4
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,4,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,5,0,5
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,1,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,5,0,5
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,4,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,25,15,40
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,3,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,8,15,23
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,1,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,3,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,4,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,115,0,115
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,44,9,53
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,0,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,5,0,5
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,2,2
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,9,0,9
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-01-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,2,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-02-01,2,0,2
