,group,variable,month,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,7,0,7
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,2,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,11,1,12
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,16,2,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,3,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,39,6,45
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,3,2,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,6,1,7
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,12,0,12
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,10,10
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,7,0,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,8,0,8
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,4,1,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,6,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,99,0,99
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,4,4
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,3,0,3
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,5,1,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,34,0,34
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,4,0,4
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-01-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,3,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,7,1,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,2,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,4,4
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,3,0,3
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,12,11,23
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,37,33,70
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,5,5
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,2,0,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,12,12
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,10,10
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,1,3,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,104,5,109
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,4,1,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,2,2
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,3,2,5
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,4,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-02-01,0,3,3
