,group,variable,month,L 1910 ANTI AMARÍLICA CANTIDAD,L 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,95,97
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
ARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,9,1,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,2,3
AZURDUY,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,2,6
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,11,2,13
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,0,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,4,7
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,7,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,1,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,8,14,22
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,152,1,153
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,49,28,77
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,3,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,3,5
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,5,1,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,0,6
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,306,25,331
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,14,5,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,18,21
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,4,7
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,2,6
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,14,6,20
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,250,12,262
LAJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,1,4
MAIRANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,8,1,9
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,6,6
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,5,6
ORURO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,95,11,106
PAILON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
PALCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,1,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,6,8,14
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,8,8
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,0,4
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,84,0,84
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,2,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,2,2
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,4,1,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,31,2,33
QUIME,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,5,8
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,9,9
REYES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,3,9,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,3,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,1,1,2
SABAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,21,0,21
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-01-01,0,1,1
