,group,variable,month,L 19.1 DPT 1RA DOSIS CANTIDAD,L 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,6,8
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,4,4
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,2,2
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,1,5
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,1,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,6,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,5,10
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,3,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,15,15
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,10,0,10
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,7,7
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,3,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,3,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,8,9
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,81,0,81
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,15,0,15
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
COLLANA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,1,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,17,17
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,1,3
COMBAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,6,6
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,3,0,3
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,1,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,7,13
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,91,8,99
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,1,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,9,4,13
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,7,0,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,7,8
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,8,0,8
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,12,12
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,11,0,11
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,176,6,182
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,38,2,40
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,7,0,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,10,2,12
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,0,4
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,9,0,9
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,0,11,11
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,5,0,5
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,5,9
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,11,8,19
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,54,75,129
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,1,5
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,10,16
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,10,21,31
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,13,19
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,4,1,5
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,7,31,38
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,1,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-01-01,8,4,12
