municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
ACHACACHI,referencias,pacientes referidos a otros establecimientos,2009-01-01,12,12
ACHOCALLA,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
AIQUILE,referencias,pacientes referidos a otros establecimientos,2009-01-01,36,36
ALALAY,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
ALCALA,referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
ANCORAIMES,referencias,pacientes referidos a otros establecimientos,2009-01-01,6,6
ANDAMARCA,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
ANTEQUERA,referencias,pacientes referidos a otros establecimientos,2009-01-01,6,6
ANZALDO,referencias,pacientes referidos a otros establecimientos,2009-01-01,3,3
APOLO,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
ARANI,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
ARBIETO,referencias,pacientes referidos a otros establecimientos,2009-01-01,3,3
ARQUE,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
ASCENCION DE GUARAYOS,referencias,pacientes referidos a otros establecimientos,2009-01-01,30,30
ATOCHA,referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
AYATA,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),referencias,pacientes referidos a otros establecimientos,2009-01-01,18,18
AZURDUY,referencias,pacientes referidos a otros establecimientos,2009-01-01,6,6
BATALLAS,referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
BAURES,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
BERMEJO,referencias,pacientes referidos a otros establecimientos,2009-01-01,74,74
BETANZOS,referencias,pacientes referidos a otros establecimientos,2009-01-01,42,42
BOLIVAR,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
BOLPEBRA,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
BOYUIBE,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
BUENA VISTA,referencias,pacientes referidos a otros establecimientos,2009-01-01,15,15
CABEZAS,referencias,pacientes referidos a otros establecimientos,2009-01-01,20,20
CAIROMA,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
"CAIZA ""D""",referencias,pacientes referidos a otros establecimientos,2009-01-01,14,14
CAJUATA,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
CALAMARCA,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
CAMARGO,referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
CAMIRI,referencias,pacientes referidos a otros establecimientos,2009-01-01,15,15
CAPINOTA,referencias,pacientes referidos a otros establecimientos,2009-01-01,24,24
CAQUIAVIRI,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
CARACOLLO,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
CARANAVI,referencias,pacientes referidos a otros establecimientos,2009-01-01,37,37
CARAPARI,referencias,pacientes referidos a otros establecimientos,2009-01-01,14,14
CARMEN RIVERO TORREZ,referencias,pacientes referidos a otros establecimientos,2009-01-01,8,8
CATACORA,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
CHALLAPATA,referencias,pacientes referidos a otros establecimientos,2009-01-01,26,26
CHAQUI,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
CHARAGUA,referencias,pacientes referidos a otros establecimientos,2009-01-01,23,23
CHAYANTA,referencias,pacientes referidos a otros establecimientos,2009-01-01,3,3
CHIMORE,referencias,pacientes referidos a otros establecimientos,2009-01-01,21,21
CHUMA,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
CLIZA,referencias,pacientes referidos a otros establecimientos,2009-01-01,32,32
COBIJA,referencias,pacientes referidos a otros establecimientos,2009-01-01,38,38
COCHABAMBA,referencias,pacientes referidos a otros establecimientos,2009-01-01,428,428
COLCAPIRHUA,referencias,pacientes referidos a otros establecimientos,2009-01-01,20,20
"COLCHA ""K""",referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
COLOMI,referencias,pacientes referidos a otros establecimientos,2009-01-01,26,26
COLPA BELGICA,referencias,pacientes referidos a otros establecimientos,2009-01-01,49,49
COLQUECHACA,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
COLQUENCHA,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
COLQUIRI,referencias,pacientes referidos a otros establecimientos,2009-01-01,6,6
COMARAPA,referencias,pacientes referidos a otros establecimientos,2009-01-01,9,9
CONCEPCION,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
COPACABANA,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
CORO CORO,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
COROICO,referencias,pacientes referidos a otros establecimientos,2009-01-01,49,49
CORQUE,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
COTAGAITA,referencias,pacientes referidos a otros establecimientos,2009-01-01,27,27
COTOCA,referencias,pacientes referidos a otros establecimientos,2009-01-01,21,21
CUATRO CAÑADAS,referencias,pacientes referidos a otros establecimientos,2009-01-01,27,27
CUEVO,referencias,pacientes referidos a otros establecimientos,2009-01-01,5,5
CULPINA,referencias,pacientes referidos a otros establecimientos,2009-01-01,4,4
CURAHUARA DE CARANGAS,referencias,pacientes referidos a otros establecimientos,2009-01-01,3,3
DESAGUADERO,referencias,pacientes referidos a otros establecimientos,2009-01-01,7,7
EL ALTO,referencias,pacientes referidos a otros establecimientos,2009-01-01,1601,1601
EL PUENTE(STC),referencias,pacientes referidos a otros establecimientos,2009-01-01,18,18
EL PUENTE(TJA),referencias,pacientes referidos a otros establecimientos,2009-01-01,28,28
EL TORNO,referencias,pacientes referidos a otros establecimientos,2009-01-01,75,75
EL VILLAR,referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
ENTRE RIOS,referencias,pacientes referidos a otros establecimientos,2009-01-01,25,25
ENTRE RIOS,referencias,pacientes referidos a otros establecimientos,2009-01-01,15,15
EUCALIPTUS,referencias,pacientes referidos a otros establecimientos,2009-01-01,14,14
EUREKA (SANTOS MERCADO),referencias,pacientes referidos a otros establecimientos,2009-01-01,1,1
FERNANDEZ ALONSO,referencias,pacientes referidos a otros establecimientos,2009-01-01,17,17
FILADELFIA,referencias,pacientes referidos a otros establecimientos,2009-01-01,8,8
GENERAL SAAVEDRA,referencias,pacientes referidos a otros establecimientos,2009-01-01,22,22
GUANAY,referencias,pacientes referidos a otros establecimientos,2009-01-01,2,2
GUAQUI,referencias,pacientes referidos a otros establecimientos,2009-01-01,13,13
