,group,variable,month,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,2,13,0,1,0,0,2,15,17
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,2,0,19,2,0,0,0,0,21,2,23
ALALAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ALCALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ALTO BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
ANDAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-01-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
