,group,variable,month,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 50 Y +,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,5,0,19,2,7,1,0,0,31,3,34
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado,2024-01-01,0,0,0,0,1,3,0,1,0,0,0,0,1,4,5
