,group,variable,month,PARTOS ATENDIDOS POR PARTERA CAPACITADA < A 10,PARTOS ATENDIDOS POR PARTERA CAPACITADA < A 10,PARTOS ATENDIDOS POR PARTERA CAPACITADA 10 A 14,PARTOS ATENDIDOS POR PARTERA CAPACITADA 10 A 14,PARTOS ATENDIDOS POR PARTERA CAPACITADA 15 A 19,PARTOS ATENDIDOS POR PARTERA CAPACITADA 15 A 19,PARTOS ATENDIDOS POR PARTERA CAPACITADA 20 A 34,PARTOS ATENDIDOS POR PARTERA CAPACITADA 20 A 34,PARTOS ATENDIDOS POR PARTERA CAPACITADA 35 A 49,PARTOS ATENDIDOS POR PARTERA CAPACITADA 35 A 49,PARTOS ATENDIDOS POR PARTERA CAPACITADA 50 Y +,PARTOS ATENDIDOS POR PARTERA CAPACITADA 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-01-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-01-01,0,0,0,0,0,1,0,2,0,2,0,0,0,5,5
SICAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera capacitada,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
