,group,variable,month,PARTOS ATENDIDOS POR PARTERA EMPIRICA < A 10,PARTOS ATENDIDOS POR PARTERA EMPIRICA < A 10,PARTOS ATENDIDOS POR PARTERA EMPIRICA 10 A 14,PARTOS ATENDIDOS POR PARTERA EMPIRICA 10 A 14,PARTOS ATENDIDOS POR PARTERA EMPIRICA 15 A 19,PARTOS ATENDIDOS POR PARTERA EMPIRICA 15 A 19,PARTOS ATENDIDOS POR PARTERA EMPIRICA 20 A 34,PARTOS ATENDIDOS POR PARTERA EMPIRICA 20 A 34,PARTOS ATENDIDOS POR PARTERA EMPIRICA 35 A 49,PARTOS ATENDIDOS POR PARTERA EMPIRICA 35 A 49,PARTOS ATENDIDOS POR PARTERA EMPIRICA 50 Y +,PARTOS ATENDIDOS POR PARTERA EMPIRICA 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,1,0,13,0,0,0,0,0,14,0,14
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por partera empirica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
