,group,variable,month,PARTOS ATENDIDOS POR OTROS < A 10,PARTOS ATENDIDOS POR OTROS < A 10,PARTOS ATENDIDOS POR OTROS 10 A 14,PARTOS ATENDIDOS POR OTROS 10 A 14,PARTOS ATENDIDOS POR OTROS 15 A 19,PARTOS ATENDIDOS POR OTROS 15 A 19,PARTOS ATENDIDOS POR OTROS 20 A 34,PARTOS ATENDIDOS POR OTROS 20 A 34,PARTOS ATENDIDOS POR OTROS 35 A 49,PARTOS ATENDIDOS POR OTROS 35 A 49,PARTOS ATENDIDOS POR OTROS 50 Y +,PARTOS ATENDIDOS POR OTROS 50 Y +,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por otros,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
